Wed Sep 9 11:23:03 PDT 2015, 12month1, 12471, 872622, 22624727, 88732.44, 140032.69, 0.118884, 1814.18707, 4554.40708, 2.51044, 6.54472, MKL SpMV, 7.30693, 6.192678, 61.947, CPU CSR I/O Proxy, 4.75878, 9.508630, 95.118, Merge SpMV, 4.74969, 9.526817, 95.300, Merge SpMV NUMA, Numa setup ms, 19.21701, 3.51064, 12.889250, 128.935, POSKI Tuned SpMV, poski tune ms, 2386.17505, 7.91759, 5.715054, 57.169,
Wed Sep 9 11:23:33 PDT 2015, 130bit, 584, 575, 6120, 233.83, 158.15, 0.012941, 10.47945, 1.32917, 0.12684, -0.14175, MKL SpMV, 0.00512, 2.388507, 25.253, CPU CSR I/O Proxy, 0.00374, 3.274601, 34.621, Merge SpMV, 0.00497, 2.463778, 26.048, Merge SpMV NUMA, Numa setup ms, 1.70803, 0.00465, 2.629690, 27.803, POSKI Tuned SpMV, poski tune ms, 84.11503, 0.08198, 0.149302, 1.579,
Wed Sep 9 11:23:39 PDT 2015, 144, 144649, 144649, 2148786, 24326.38, 25723.85, 0.601204, 14.85517, 2.71831, 0.18299, 0.07427, MKL SpMV, 0.22716, 18.918660, 196.828, CPU CSR I/O Proxy, 0.15870, 27.079243, 281.730, Merge SpMV, 0.20903, 20.559149, 213.895, Merge SpMV NUMA, Numa setup ms, 3.17216, 0.20884, 20.577865, 214.090, POSKI Tuned SpMV, poski tune ms, 391.95990, 1.15612, 3.717248, 38.674,
Wed Sep 9 11:23:56 PDT 2015, 145bit, 1002, 993, 11315, 416.50, 278.12, 0.013625, 11.29242, 1.40973, 0.12484, 0.03529, MKL SpMV, 0.00558, 4.053494, 42.689, CPU CSR I/O Proxy, 0.00366, 6.176853, 65.050, Merge SpMV, 0.00515, 4.395063, 46.286, Merge SpMV NUMA, Numa setup ms, 1.54710, 0.00504, 4.487195, 47.256, POSKI Tuned SpMV, poski tune ms, 57.58286, 0.07651, 0.295795, 3.115,
Wed Sep 9 11:24:02 PDT 2015, 162bit, 3606, 3597, 37118, 1501.73, 990.35, 0.002459, 10.29340, 1.14694, 0.11142, -0.01845, MKL SpMV, 0.00735, 10.105248, 106.943, CPU CSR I/O Proxy, 0.00523, 14.193236, 150.206, Merge SpMV, 0.00670, 11.079203, 117.250, Merge SpMV NUMA, Numa setup ms, 1.43695, 0.00663, 11.201573, 118.545, POSKI Tuned SpMV, poski tune ms, 58.73013, 0.09053, 0.820020, 8.678,
Wed Sep 9 11:24:09 PDT 2015, 176bit, 7441, 7431, 82270, 3163.41, 2071.15, 0.004950, 11.05631, 1.24768, 0.11285, 0.01805, MKL SpMV, 0.01094, 15.039781, 158.560, CPU CSR I/O Proxy, 0.00786, 20.929584, 220.654, Merge SpMV, 0.00947, 17.367208, 183.097, Merge SpMV NUMA, Numa setup ms, 1.53804, 0.00936, 17.569977, 185.235, POSKI Tuned SpMV, poski tune ms, 51.32103, 0.12666, 1.299055, 13.696,
Wed Sep 9 11:24:19 PDT 2015, 192bit, 13691, 13682, 154303, 5918.85, 3828.73, 0.008309, 11.27040, 1.34917, 0.11971, 0.10290, MKL SpMV, 0.01719, 17.947779, 189.033, CPU CSR I/O Proxy, 0.01140, 27.069607, 285.107, Merge SpMV, 0.01419, 21.751018, 229.090, Merge SpMV NUMA, Numa setup ms, 1.57285, 0.01419, 21.746165, 229.039, POSKI Tuned SpMV, poski tune ms, 100.18897, 0.18458, 1.671951, 17.610,
Wed Sep 9 11:24:32 PDT 2015, 208bit, 24430, 24421, 299756, 10729.97, 6895.95, 0.004244, 12.27000, 1.44166, 0.11749, 0.06809, MKL SpMV, 0.02808, 21.351645, 223.957, CPU CSR I/O Proxy, 0.01752, 34.217784, 358.910, Merge SpMV, 0.02556, 23.459308, 246.065, Merge SpMV NUMA, Numa setup ms, 1.68705, 0.02555, 23.466875, 246.144, POSKI Tuned SpMV, poski tune ms, 66.00094, 0.27108, 2.211559, 23.197,
Wed Sep 9 11:24:51 PDT 2015, 2D_27628_bjtcai, 27628, 27628, 442898, 161.85, 547.56, 0.997504, 16.03077, 2.94233, 0.18354, 6.12866, MKL SpMV, 0.03498, 25.319814, 262.675, CPU CSR I/O Proxy, 0.01801, 49.192988, 510.342, Merge SpMV, 0.02455, 36.082628, 374.331, Merge SpMV NUMA, Numa setup ms, 1.87421, 0.02448, 36.182753, 375.370, POSKI Tuned SpMV, poski tune ms, 82.99493, 0.28792, 3.076532, 31.917,
Wed Sep 9 11:25:08 PDT 2015, 2D_54019_highK, 54019, 54019, 996414, 541.84, 1541.27, 0.994730, 18.44562, 6.92217, 0.37527, 156.96983, MKL SpMV, 0.06338, 31.441345, 324.641, CPU CSR I/O Proxy, 0.03390, 58.792309, 607.047, Merge SpMV, 0.04779, 41.701833, 430.583, Merge SpMV NUMA, Numa setup ms, 2.32911, 0.04797, 41.545960, 428.974, POSKI Tuned SpMV, poski tune ms, 105.32212, 0.18141, 10.985439, 113.428,
Wed Sep 9 11:25:16 PDT 2015, 2cubes_sphere, 101492, 101492, 1647264, 2690.02, 8930.31, 0.949511, 16.23048, 2.65370, 0.16350, 0.17390, MKL SpMV, 0.11533, 28.565159, 296.211, CPU CSR I/O Proxy, 0.06385, 51.596584, 535.040, Merge SpMV, 0.10148, 32.466083, 336.663, Merge SpMV NUMA, Numa setup ms, 2.67410, 0.10266, 32.090622, 332.769, POSKI Tuned SpMV, poski tune ms, 250.42009, 0.60079, 5.483700, 56.864,
Wed Sep 9 11:25:28 PDT 2015, 333SP, 3712815, 3712815, 22217266, 360962.58, 527320.28, 0.823092, 5.98394, 0.70296, 0.11747, 0.26852, MKL SpMV, 12.95303, 3.430436, 37.744, CPU CSR I/O Proxy, 12.70996, 3.496040, 38.466, Merge SpMV, 13.32799, 3.333926, 36.682, Merge SpMV NUMA, Numa setup ms, 18.70990, 11.03106, 4.028127, 44.320, POSKI Tuned SpMV, poski tune ms, 5698.18213, 20.37603, 2.180726, 23.994,
Wed Sep 9 11:26:33 PDT 2015, 3D_28984_Tetra, 28984, 28984, 599170, 1476.47, 2773.44, 0.926877, 20.67244, 29.73924, 1.43859, 118.00362, MKL SpMV, 0.04505, 26.602002, 273.741, CPU CSR I/O Proxy, 0.02547, 47.043776, 484.092, Merge SpMV, 0.03131, 38.269958, 393.807, Merge SpMV NUMA, Numa setup ms, 1.83606, 0.03144, 38.111607, 392.178, POSKI Tuned SpMV, poski tune ms, 95.85094, 0.29196, 4.104486, 42.236,
